userName,content,score,at,appVersion,text,label,sentiment
Ariya Tama,Tolong dipermudah ketika pemesanan makanan dimalam hari setelah hujan dan tolong promo nya yang jelas dan lebih terlihat lagi kadang app ini suka gak transparan beli promo ternyata promo gajelas Tolong ya sekali lagi,0.9923259019851685,2021-11-14 00:15:19,4.30.1,"Translated(src=id, dest=en, text=b'Please make it easier when ordering food at night after it rains and please make the promos clearer and more visible. Sometimes this app doesn't seem transparent when buying promos turns out the promos aren't clear. Please once again', pronunciation=b'Please make it easier when ordering food at night after it rains and please make the promos clearer and more visible. Sometimes this app doesn't seem transparent when buying promos turns out the promos aren't clear. Please once again', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9923259019851685}]"
Andi Ulla,ok,0.9989097118377686,2021-11-05 09:52:23,4.30.1,"Translated(src=id, dest=en, text=b'ok', pronunciation=b'ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Miyani Yani,Pelayanan ok,0.9992388486862183,2021-11-05 09:48:55,4.30.1,"Translated(src=id, dest=en, text=b'Service ok', pronunciation=b'Service ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9992388486862183}]"
Bing bing,Sering kasih promo,0.7822908163070679,2021-12-07 00:48:34,4.30.1,"Translated(src=id, dest=en, text=b'Give promotions often', pronunciation=b'Give promotions often', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.7822908163070679}]"
Andi CahyoRamadon,Banyakin promo lagi yaa,0.994139552116394,2021-11-05 09:47:57,4.30.1,"Translated(src=id, dest=en, text=b'More promos yaa', pronunciation=b'More promos yaa', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.994139552116394}]"
Ahmad Afandi,Mantab aman naik gojek,0.9998780488967896,2021-11-05 09:47:11,4.30.1,"Translated(src=id, dest=en, text=b'It's great and safe to ride a Gojek', pronunciation=b'It's great and safe to ride a Gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998780488967896}]"
Sholi,Thanks sudah bisa lagi,0.998752236366272,2021-11-05 09:46:34,4.30.1,"Translated(src=id, dest=en, text=b'Thanks, I can do it again', pronunciation=b'Thanks, I can do it again', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998752236366272}]"
Nur Azizah aditya,Senang 0ake gojek,0.9993922710418701,2021-11-14 07:17:30,4.30.1,"Translated(src=id, dest=en, text=b'Happy to use Gojek', pronunciation=b'Happy to use Gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9993922710418701}]"
Heri Kuntara,Ok,0.9989097118377686,2021-11-05 10:16:02,4.30.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
n isni,Good,0.9998444318771362,2021-11-05 08:14:44,4.30.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Mbuh Mbuh,Tolong perbaiki kesalahan pada sistem yang sering mencurigai kostumer dengan dalih Aktivitas mencurigakan padahal tidak ada yang mencurigakan Hilang voucher dan saldo gopay terkunci sering terjadi akhirakhir ini Saya menghargai upaya Gojek untuk membuat nyaman kostumer tapi tolong lebih diperinci kembali juga apa saja aktivitas mencurigakannya yang menyebabkan terblokir Terimakasih salam satu aspal,0.9778822064399719,2021-11-17 08:04:41,4.30.1,"Translated(src=id, dest=en, text=b'Please fix the error in the system which often suspects customers under the pretext of suspicious activity even though there is nothing suspicious. Lost vouchers and locked GoPay balances have happened frequently recently. I appreciate Gojek's efforts to make customers comfortable, but please provide more details as well as what suspicious activities are causing it. blocked Thank you greetings one asphalt', pronunciation=[[]], extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9778822064399719}]"
Okhez rose,Buruk,0.9997637867927551,2021-11-10 11:32:17,4.30.1,"Translated(src=id, dest=en, text=b'Bad', pronunciation=b'Bad', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9997637867927551}]"
Corry nikita Sinaga,Kenapa ya promo saya satu pun tidak ada Padahal saya sudah pakai 5tahun Tapi 6bulaan terakhir tidak ada lagi dapat promo apapun baik transportasi maupun promo gofood Tolong dong perbaikan nya,0.9986300468444824,2021-11-28 13:05:55,4.30.1,"Translated(src=id, dest=en, text=b'Why don't I have any promos even though I've been using it for 5 years, but in the last 6 months I haven't gotten any promos, either transportation or Gofood promos, please fix it', pronunciation=b'Why don't I have any promos even though I've been using it for 5 years, but in the last 6 months I haven't gotten any promos, either transportation or Gofood promos, please fix it', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9986300468444824}]"
Fan Di,Apk yang membantu,0.9916592240333557,2021-12-06 13:27:52,4.30.1,"Translated(src=id, dest=en, text=b'Helpful app', pronunciation=b'Helpful app', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9916592240333557}]"
Ares Tri,Jos,0.87342768907547,2021-11-05 10:37:57,4.30.1,"Translated(src=id, dest=en, text=b'Jos', pronunciation=b'Jos', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.87342768907547}]"
Adhitya Gezali,Mohon bantuannya aplikasi gojek tidak bisa dibuka sudah dicoba reinstal dan hapus data masih tidak bisa dibuka selalu kembali ke dekstop,0.9976980090141296,2021-11-05 10:33:08,4.30.1,"Translated(src=id, dest=en, text=b'Please help, the Gojek application can't be opened. I've tried reinstalling and deleting data, still can't open, always returns to desktop', pronunciation=b'Please help, the Gojek application can't be opened. I've tried reinstalling and deleting data, still can't open, always returns to desktop', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9976980090141296}]"
Wafi Nugraha,sangat puas dengan aplikasi gojek inimantap,0.999797523021698,2021-11-10 15:59:45,4.30.1,"Translated(src=id, dest=en, text=b'very satisfied with this Gojek application, it's great', pronunciation=b'very satisfied with this Gojek application, it's great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999797523021698}]"
Indra Music ChanneL,suka sekali,0.9995253086090088,2021-11-05 10:31:20,4.30.1,"Translated(src=id, dest=en, text=b'like it a lot', pronunciation=b'like it a lot', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995253086090088}]"
Rukmana Permadi,Mantap pertahankan,0.9997735619544983,2021-11-22 11:47:01,4.30.1,"Translated(src=id, dest=en, text=b'Keep it steady', pronunciation=b'Keep it steady', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997735619544983}]"
faries pmks,Sgt mudah mnggunkan aplikasix,0.9367942214012146,2021-11-10 11:49:18,4.30.1,"Translated(src=id, dest=en, text=b'Very easy to use the applicationx', pronunciation=b'Very easy to use the applicationx', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9367942214012146}]"
nur isnaini,Mkasih promonya bikin betahdn driver jg dpt selalu yg ramah,0.9997755885124207,2021-11-05 10:28:15,4.30.1,"Translated(src=id, dest=en, text=b'Thank you for the promo, it makes you feel at home and the drivers are always friendly', pronunciation=b'Thank you for the promo, it makes you feel at home and the drivers are always friendly', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997755885124207}]"
Terapi Chirhopraktik Purworejo,Aplikasi gojek mantap,0.9996957778930664,2021-11-05 10:24:05,4.30.1,"Translated(src=id, dest=en, text=b'Gojek application is great', pronunciation=b'Gojek application is great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996957778930664}]"
mr habib,Kreeen,0.984348475933075,2021-11-05 10:20:05,4.30.1,"Translated(src=id, dest=en, text=b'Kreeen', pronunciation=b'Kreeen', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.984348475933075}]"
Lim Silvia,Perjalanan jadi lebih mudah,0.5024515986442566,2021-11-22 11:23:48,4.30.1,"Translated(src=id, dest=en, text=b'Travel just got easier', pronunciation=b'Travel just got easier', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5024515986442566}]"
Annisa Divani Azahra,kenapa ya ko gojek aku lagi ga di pake dan ga di buka aplikasinya suka ada tiba tiba notifikasi seolah olah akun aku pesen gojek dan setiap di pencet notifikasinya padahal ga ada ini ganggu bgt soalnya pernah jam 12 mlm juga kaya gtu tolong di perbaiki dong dan alamat yang di pesannya juga yang saya ga tau kadang juga ada notifikasi chat sama driver,0.9927914142608643,2021-12-06 13:41:01,4.30.1,"Translated(src=id, dest=en, text=Why is it that I'm not using Gojek and I can't open the app? I suddenly get notifications as if my account has ordered Gojek and every time I press the notification even though there's nothing, it's really annoying because it's been like that at 12pm, please fix it, bro. and I don't know the address in the message, sometimes there is also a chat notification with the driver.', pronunciation=[[]], extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9927914142608643}]"
Jang Jajang,Akun gopay saya terblokir tolong bantu akun saya,0.9996309280395508,2021-11-05 09:31:15,4.30.1,"Translated(src=id, dest=en, text=My GoPay account is blocked please help my account', pronunciation=My GoPay account is blocked please help my account', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996309280395508}]"
Hafid Irwan,Good,0.9998444318771362,2021-11-05 08:37:02,4.30.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Atun Sri,Belom dpt promo buat pergipergi,0.9883165955543518,2021-11-22 04:37:38,4.30.1,"Translated(src=id, dest=en, text=Haven't got a promo for going out yet', pronunciation=Haven't got a promo for going out yet', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9883165955543518}]"
Nata Lesmana,Dari dl sy puas dgn pelayanan GOJEK,0.9983023405075073,2021-11-29 02:22:29,4.30.1,"Translated(src=id, dest=en, text=I have always been satisfied with GOJEK's service., pronunciation=I have always been satisfied with GOJEK's service., extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9983023405075073}]"
Tarsudi Sud,Bintang yg bicara,0.5545345544815063,2021-12-03 16:05:45,4.30.1,"Translated(src=id, dest=en, text=b'Talking stars', pronunciation=b'Talking stars', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5545345544815063}]"
Dinar Chandra,Dengan gojek semua jadi mudahtggu drumah tdak perlu capek2 keluar pokonya aplikasinya bagus,0.9992902278900146,2021-11-10 12:09:21,4.30.1,"Translated(src=id, dest=en, text=b With Gojek, everything is easy to stay at home, no need to be tired of going out, the application is good.', pronunciation=b With Gojek, everything is easy to stay at home, no need to be tired of going out, the application is good.', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9992902278900146}]"
Deni Setiawan,Good,0.9998444318771362,2021-11-05 08:42:46,4.30.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Theazhyiimfauzaan TAF,AKUN AZHYYIM HARI INI SEKITAR JAM 1515 SORE SAYA ISI SALDO GOPAY RP 37000 DAN UDH MASUK NIAT MAU PESAN GOFOOD TAPI TIBA TIBA SALDO SAYA BERKURANG 20000 PADAHAL BELUM NGAPA NGAPAIN MAKANAN BLOM DIPESAN TAPI SALDO UDH BERKURANG TOLONGDONG ADMIN GOJEK KEMBALIIN SALDONYA PADAHAL BLOM APA APATIDAKBESAR TAPI SAYANG,0.9990187883377075,2021-11-05 08:38:34,4.30.1,"Translated(src=id, dest=en, text=b'AZHYYIM'S ACCOUNT TODAY AT AROUND 1515 PM I FILLED IN MY GOPAY BALANCE WITH IDR 37,000 AND I WAS INTENTION TO ORDER GOFOOD BUT Suddenly MY BALANCE WAS REDUCED BY 20,000 EVEN THOUGH I DON'T KNOW WHY THE FOOD HAS NOT BEEN ORDERED BUT THE BALANCE HAS REDUCED PLEASE GOJEK ADMIN BACK IN THE BALANCE EVEN THOUGH IT'S NOT LARGE BUT, HONEY', pronunciation=None, extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9990187883377075}]"
M Jidan Dedandi,Mantap,0.9997685551643372,2021-12-06 14:02:11,4.30.1,"Translated(src=id, dest=en, text=b'Great', pronunciation=b'Great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
Arga Saputra,Mantaaap,0.999868631362915,2021-11-05 09:29:08,4.30.1,"Translated(src=id, dest=en, text=b'Amazing', pronunciation=b'Amazing', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999868631362915}]"
Agung Candra,Ok,0.9989097118377686,2021-11-05 08:34:38,4.30.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Maspi123 Anak sholeh,Mantap gojek,0.9996232986450195,2021-11-14 01:05:52,4.30.1,"Translated(src=id, dest=en, text=b'Great Gojek', pronunciation=b'Great Gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996232986450195}]"
Adelia Febriana,Pelayanan terlalu buruk tidak mendapatkan driver terlalu lama,0.9180506467819214,2021-11-10 12:20:23,4.30.1,"Translated(src=id, dest=en, text=b'Service too bad didn't get driver too long', pronunciation=b'Service too bad didn't get driver too long', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9180506467819214}]"
Rudi ae,Aplikasi sering gak bisa dibpakai untup pikup langsung balik ke menu utama Laporan komplain kurang di respon,0.9996259212493896,2021-11-05 08:30:10,4.30.1,"Translated(src=id, dest=en, text=The application often cannot be used for pickups and goes straight back to the main menu. Complaint reports are not responded to enough.', pronunciation=The application often cannot be used for pickups and goes straight back to the main menu. Complaint reports are not responded to enough.', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996259212493896}]"
Ari Kris,Vocer selalu gak bisa di pakai Padahal masih aktif penipu,0.9992142915725708,2021-11-05 08:26:24,4.30.1,"Translated(src=id, dest=en, text=b'Vocer always can't be used even though it's still an active fraudster', pronunciation=b'Vocer always can't be used even though it's still an active fraudster', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992142915725708}]"
Yandi Syahrial,Ok dan klu bs drivernya tdk mls utk keluarin hputk menggunakan geoglemap,0.9898507595062256,2021-11-10 12:20:49,4.30.1,"Translated(src=id, dest=en, text=b'Ok and if the driver can do it, don't bother to output the cellphone using geoglemap', pronunciation=b'Ok and if the driver can do it, don't bother to output the cellphone using geoglemap', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9898507595062256}]"
nanik azizah,Senang Sekali Sehat Selalu,0.9998594522476196,2021-11-05 08:48:55,4.30.1,"Translated(src=id, dest=en, text=b'Happy, Always Healthy', pronunciation=b'Happy, Always Healthy', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998594522476196}]"
Ayeot Iman,Mantaaap,0.999868631362915,2021-11-05 08:53:17,4.30.1,"Translated(src=id, dest=en, text=b'Amazing', pronunciation=b'Amazing', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999868631362915}]"
lutfy muhammad aqib,Membantu dan memudahkan,0.9948956370353699,2021-11-10 15:39:55,4.30.1,"Translated(src=id, dest=en, text=b'Help and make things easier', pronunciation=b'Help and make things easier', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9948956370353699}]"
Novita anis,Sangat membantu sekali aplikasi ini,0.998728334903717,2021-12-07 00:13:54,4.30.1,"Translated(src=id, dest=en, text=b'This application is very helpful', pronunciation=b'This application is very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998728334903717}]"
Jihan Bafadal,Memuaskan semua sampe tepat dan crpat,0.9994899034500122,2021-11-05 08:55:42,4.30.1,"Translated(src=id, dest=en, text=Satisfied everything arrived correctly and quickly', pronunciation=Satisfied everything arrived correctly and quickly', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994899034500122}]"
Davis Aditiya,rute gofood memutar jauh padahal ada jalan yg dekat jadi mahal merugikan konsumen aplikasi cacat sering error customer service tidak menyelesaikan masalah  instal karena tokped Masih kecewa dong Informasi diskon yg gk jeals dan palsu,0.999370276927948,2021-11-10 12:08:08,4.30.1,"Translated(src=id, dest=en, text=""Gofood's route takes a long way even though there is a road that is close, so it's expensive, it's detrimental to consumers, the application is defective, there are frequent errors, customer service doesn't solve the installation problem because it's towed. Still disappointed, bro. Discount information that's not true and fake."", pronunciation=""Gofood's route takes a long way even though there is a road that is close, so it's expensive, it's detrimental to consumers, the application is defective, there are frequent errors, customer service doesn't solve the installation problem because it's towed. Still disappointed, bro. Discount information that's not true and fake."", extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.999370276927948}]"
S.I.T.A MP3/MP4,Sangat bagus membantu dan memuaskan pelanggan untuk berpergian,0.9998617172241211,2021-11-05 08:59:26,4.30.1,"Translated(src=id, dest=en, text=Very good at helping and satisfying customers to travel', pronunciation=Very good at helping and satisfying customers to travel', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998617172241211}]"
fia Essipzz,Mau bayar gopaylater eh appnya g bisa di buka Gmn mau bayarnya Bingung ,0.9991191029548645,2021-11-05 09:03:13,4.30.1,"Translated(src=id, dest=en, text=b'I want to pay gopaylater but the app can't be opened. How do I want to pay? Confused', pronunciation=b'I want to pay gopaylater but the app can't be opened. How do I want to pay? Confused', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9991191029548645}]"
Jey Longkutoy,Ok,0.9989097118377686,2021-12-04 01:44:39,4.30.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Moses Halawa,oklah,0.6042810678482056,2021-11-05 09:05:13,4.30.1,"Translated(src=id, dest=en, text=b'oklah', pronunciation=b'oklah', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.6042810678482056}]"
Wahono Slamet,Ga usah pusing pesan apapun pakai gojek,0.9731300473213196,2021-11-05 09:06:45,4.30.1,"Translated(src=id, dest=en, text=b'Don't worry about ordering anything using Gojek', pronunciation=b'Don't worry about ordering anything using Gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9731300473213196}]"
Mifwan Antari,Sayangnya d kota ku belom ada gojek,0.9873018264770508,2021-11-05 09:09:00,4.30.1,"Translated(src=id, dest=en, text=b Unfortunately, there are no gojeks in my city yet', pronunciation=b Unfortunately, there are no gojeks in my city yet', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9873018264770508}]"
Annisa Nurul,Kalo lagi hujan parah bgt,0.9860275983810425,2021-12-07 00:38:28,4.30.1,"Translated(src=id, dest=en, text=b'If it rains really hard', pronunciation=b'If it rains really hard', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9860275983810425}]"
Alimin Djafar,Yang terhormat PT gojek Indonesia tolong di kembalikan akun saya jangn main seenaknya blokir akun saya masih ada saldo 1 juta lebih uang itu uang untuk orng yg lagi memerlukan jangn di bikin susah kepada masyarakat dong,0.8329544067382812,2021-12-06 13:45:08,4.30.1,"Translated(src=id, dest=en, text=b'Dear PT Gojek Indonesia, please return my account, don't play around with it, block my account, I still have a balance of more than 1 million, that's money for people who need it, don't make it difficult for the community, please', pronunciation=b'Dear PT Gojek Indonesia, please return my account, don't play around with it, block my account, I still have a balance of more than 1 million, that's money for people who need it, don't make it difficult for the community, please', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8329544067382812}]"
TITIN DWI AGUSTININGRUM,Good,0.9998444318771362,2021-11-10 12:01:28,4.30.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
ferry firmansyah23,Mantab,0.9997685551643372,2021-11-14 07:01:06,4.30.1,"Translated(src=id, dest=en, text=b'Great', pronunciation=b'Great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
Rr. annisa sari dewi,Mantap tenan cuy,0.9997901320457458,2021-11-05 09:26:05,4.30.1,"Translated(src=id, dest=en, text=b'That's really cool, bro', pronunciation=b'That's really cool, bro', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997901320457458}]"
rahmat mulyana,Memuaskan sekali langsung ketemu,0.999818742275238,2021-11-05 05:48:33,4.30.1,"Translated(src=id, dest=en, text=b'It's very satisfying to meet you straight away', pronunciation=b'It's very satisfying to meet you straight away', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999818742275238}]"
Agus Mister,Sangat bagus,0.9998596906661987,2021-11-05 05:41:26,4.30.1,"Translated(src=id, dest=en, text=b'Very good', pronunciation=b'Very good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998596906661987}]"
